Epoch,G_Loss,D_Loss,Val_PSNR,Val_SSIM,Val_IFC,Set5_PSNR,Set5_SSIM,Set5_IFC,Set14_PSNR,Set14_SSIM,Set14_IFC
55,0.010752,0.005932,27.3138,0.794582,2.595068,27.3615,0.805011,2.703394,24.5094,0.695764,2.766875
56,0.010754,0.000008,28.1084,0.798846,2.598951,27.8165,0.808106,2.705724,24.7515,0.697891,2.768788
57,0.010691,0.000006,28.4064,0.802097,2.601107,27.9741,0.812485,2.707663,24.8247,0.700192,2.771717
58,0.010627,0.018004,28.6047,0.805342,2.597951,28.0661,0.814840,2.706124,24.8808,0.701430,2.768917
59,0.010626,0.007760,28.1137,0.796381,2.596609,27.8986,0.811298,2.704086,24.7895,0.700794,2.765544
60,0.010600,0.005060,28.6521,0.803017,2.597597,28.1094,0.811772,2.705300,24.9293,0.703520,2.767626
61,0.010529,0.008079,28.3344,0.805425,2.597135,28.0502,0.815984,2.703867,24.8914,0.702342,2.767535
62,0.010527,0.000014,28.0763,0.804709,2.600627,27.9576,0.817239,2.706908,24.8076,0.703905,2.770161
63,0.010430,0.017483,28.4481,0.803652,2.593363,28.0993,0.816361,2.702292,24.9153,0.702387,2.764234
64,0.010377,0.017217,28.6480,0.810619,2.595910,28.2081,0.821215,2.704583,24.9900,0.706788,2.765872
65,0.010369,0.000016,28.4312,0.806619,2.599770,28.2316,0.821994,2.706786,24.9709,0.706367,2.770035
66,0.010327,0.032316,28.1252,0.802329,2.598009,28.0070,0.815281,2.705015,24.8772,0.704765,2.766629
67,0.010225,0.021571,28.8591,0.813870,2.595284,28.3407,0.824793,2.704117,25.0644,0.709008,2.765520
68,0.010248,0.011655,28.7359,0.811874,2.596400,28.3161,0.824478,2.705684,25.0414,0.709106,2.767119
69,0.010174,0.009730,28.4901,0.812394,2.597728,28.2448,0.826199,2.705974,25.0187,0.710238,2.767124
70,0.010164,0.018593,28.6747,0.810780,2.595238,28.3197,0.824772,2.702356,25.0305,0.709516,2.763630
71,0.010109,0.023201,28.9737,0.815527,2.596110,28.4402,0.828199,2.704931,25.1147,0.711064,2.766766
72,0.010053,0.032655,28.6719,0.814558,2.592807,28.3765,0.827694,2.701912,25.0942,0.711678,2.762661
73,0.010059,0.005543,28.0886,0.813211,2.599931,28.0671,0.826764,2.708848,24.9832,0.709514,2.769985
74,0.009956,0.010452,28.8006,0.814511,2.593131,28.4060,0.828260,2.702462,25.1161,0.711775,2.763671
75,0.009967,0.006540,28.5459,0.809645,2.595902,28.1798,0.824167,2.705808,24.9535,0.705764,2.766307
76,0.009979,0.018210,29.0908,0.817418,2.593748,28.5533,0.830723,2.703348,25.2071,0.712980,2.764575
77,0.009945,0.023191,29.0035,0.817097,2.593431,28.5351,0.831601,2.702931,25.1754,0.712804,2.763774
78,0.009892,0.004062,29.1902,0.820899,2.592102,28.6099,0.833096,2.701756,25.2300,0.715055,2.761865
79,0.009897,0.008871,29.0356,0.820748,2.589964,28.5971,0.832990,2.700521,25.2205,0.715302,2.759709
80,0.009794,0.089224,28.9352,0.821590,2.590111,28.5197,0.833465,2.699663,25.2004,0.715253,2.760517
81,0.009790,0.007545,28.9199,0.820063,2.594385,28.5216,0.832984,2.704220,25.1782,0.714292,2.764443
82,0.009779,0.057860,29.3400,0.823267,2.593456,28.6825,0.834593,2.703113,25.2740,0.715785,2.763343
83,0.009716,0.000088,29.1686,0.820694,2.591779,28.6422,0.831497,2.701468,25.2735,0.715609,2.761010
84,0.009639,0.005517,28.6723,0.822541,2.588707,28.4121,0.834581,2.699660,25.1174,0.715482,2.758591
85,0.009680,0.047847,29.3806,0.825670,2.592450,28.7376,0.836404,2.702637,25.3115,0.717790,2.762676
86,0.009604,0.000006,29.2651,0.823981,2.592955,28.6937,0.836527,2.703295,25.2971,0.717144,2.763258
87,0.009577,0.021323,29.1633,0.823275,2.590448,28.6193,0.834863,2.700815,25.2556,0.715003,2.760925
88,0.009536,0.000045,29.3288,0.824551,2.589934,28.7146,0.837247,2.700713,25.2777,0.717519,2.759620
89,0.009559,0.000010,29.1420,0.822200,2.594217,28.6700,0.836926,2.704505,25.2432,0.716637,2.764843
90,0.009498,0.014765,29.2062,0.826136,2.587215,28.6169,0.836236,2.697374,25.2788,0.717038,2.756465
91,0.009425,0.006432,29.4528,0.828387,2.590194,28.7908,0.839054,2.701045,25.3634,0.719086,2.760457
92,0.009443,0.000003,29.4023,0.827836,2.593350,28.7325,0.837931,2.703147,25.3406,0.717903,2.763444
93,0.009430,0.000002,29.2489,0.826828,2.591818,28.6924,0.838726,2.702847,25.3073,0.718406,2.761462
94,0.009306,0.067694,29.3887,0.828709,2.590135,28.7776,0.838633,2.701616,25.3114,0.717175,2.760759
95,0.009294,0.000009,29.6272,0.830761,2.590848,28.8209,0.839686,2.701534,25.3940,0.720457,2.760234
96,0.009266,0.000005,29.5229,0.828948,2.593316,28.7873,0.839764,2.704146,25.3232,0.718038,2.764412
97,0.009230,0.008127,29.1025,0.829385,2.594472,28.6819,0.837770,2.705207,25.3210,0.719918,2.764185
98,0.009194,0.024300,29.2239,0.828155,2.591537,28.6792,0.838149,2.701804,25.3263,0.718404,2.760761
99,0.009156,0.166878,29.5865,0.832430,2.586549,28.8188,0.840934,2.698660,25.3753,0.720430,2.755552
100,0.009058,0.010731,29.5715,0.832008,2.587530,28.7877,0.840610,2.699184,25.3550,0.720426,2.755987
101,0.009058,0.000018,29.5084,0.831630,2.588737,28.8029,0.840924,2.699835,25.3288,0.720002,2.757718
102,0.009070,0.021798,29.7561,0.833969,2.588005,28.8383,0.841420,2.700335,25.3966,0.721046,2.756942
103,0.008975,0.022112,29.5147,0.834979,2.587362,28.8110,0.841143,2.699841,25.3476,0.721099,2.756468
104,0.008949,0.000004,29.3795,0.833341,2.585155,28.6918,0.841527,2.697511,25.3377,0.721169,2.754883
105,0.008955,0.094298,29.5617,0.833490,2.593463,28.7887,0.839503,2.703750,25.3849,0.720522,2.763028
106,0.008889,0.067126,29.7079,0.833779,2.591188,28.7935,0.840027,2.702224,25.4008,0.719932,2.761156
107,0.008736,0.050126,29.9081,0.837643,2.589905,28.8754,0.842032,2.701133,25.4447,0.722871,2.759342
108,0.008776,0.000020,29.5835,0.836907,2.585841,28.7996,0.842252,2.698702,25.3575,0.722297,2.754462
109,0.008749,0.000011,29.7370,0.837712,2.587857,28.7579,0.841235,2.699540,25.3633,0.720771,2.756217
110,0.008680,0.052582,29.8987,0.837368,2.587873,28.8169,0.841241,2.700141,25.3806,0.721322,2.757036
111,0.008628,0.016737,29.6306,0.837785,2.581439,28.7194,0.841398,2.694915,25.3286,0.722024,2.748659
112,0.008641,0.014846,29.6565,0.837079,2.585190,28.6609,0.839992,2.698870,25.2917,0.720211,2.753574
113,0.008593,0.096339,29.9807,0.839960,2.587980,28.8130,0.841684,2.699417,25.3742,0.722101,2.756878
114,0.008520,0.099444,29.9113,0.837867,2.586432,28.7603,0.840153,2.698108,25.3342,0.720233,2.754578
115,0.008485,0.038410,29.5166,0.839388,2.585025,28.6824,0.841766,2.696996,25.3051,0.721888,2.753923
116,0.008421,0.015388,29.8199,0.841745,2.581311,28.6295,0.840554,2.694474,25.2628,0.720365,2.747415
117,0.008400,0.095603,30.0000,0.842348,2.585573,28.7958,0.841430,2.698256,25.3796,0.722294,2.753933
118,0.008346,0.000312,30.0393,0.842496,2.584598,28.7304,0.840505,2.696808,25.3320,0.720698,2.751755
119,0.008323,0.021578,30.1295,0.843355,2.584391,28.7332,0.841020,2.697754,25.3334,0.721319,2.752315
