Training History
Epoch 233:
G_Loss: 0.013391
D_Loss: 2.000000
Val_PSNR: 35.9981
Val_SSIM: 0.955594

Epoch 234:
G_Loss: 0.013358
D_Loss: 2.000000
Val_PSNR: 35.9532
Val_SSIM: 0.949926

Epoch 235:
G_Loss: 0.013373
D_Loss: 2.000000
Val_PSNR: 36.1006
Val_SSIM: 0.954645

Epoch 236:
G_Loss: 0.013371
D_Loss: 2.000000
Val_PSNR: 35.9487
Val_SSIM: 0.952853

Epoch 237:
G_Loss: 0.013340
D_Loss: 2.000000
Val_PSNR: 35.8875
Val_SSIM: 0.954139

Epoch 238:
G_Loss: 0.013401
D_Loss: 2.000000
Val_PSNR: 35.4782
Val_SSIM: 0.946703

Epoch 239:
G_Loss: 0.013341
D_Loss: 2.000000
Val_PSNR: 36.0478
Val_SSIM: 0.953973

Epoch 240:
G_Loss: 0.013351
D_Loss: 2.000000
Val_PSNR: 35.8299
Val_SSIM: 0.952754

Epoch 241:
G_Loss: 0.013359
D_Loss: 2.000000
Val_PSNR: 36.1072
Val_SSIM: 0.957288

Epoch 242:
G_Loss: 0.013362
D_Loss: 2.000000
Val_PSNR: 36.1073
Val_SSIM: 0.954721

Epoch 243:
G_Loss: 0.013324
D_Loss: 2.000000
Val_PSNR: 36.1376
Val_SSIM: 0.955405

Epoch 244:
G_Loss: 0.013381
D_Loss: 2.000000
Val_PSNR: 35.9488
Val_SSIM: 0.954032

Epoch 245:
G_Loss: 0.013333
D_Loss: 2.000000
Val_PSNR: 36.0737
Val_SSIM: 0.957171

Epoch 246:
G_Loss: 0.013377
D_Loss: 2.000000
Val_PSNR: 35.8584
Val_SSIM: 0.954072

Epoch 247:
G_Loss: 0.013390
D_Loss: 2.000000
Val_PSNR: 35.7491
Val_SSIM: 0.950984

Epoch 248:
G_Loss: 0.013432
D_Loss: 2.000000
Val_PSNR: 36.0948
Val_SSIM: 0.955937

Epoch 249:
G_Loss: 0.013333
D_Loss: 2.000000
Val_PSNR: 36.0479
Val_SSIM: 0.950061

Epoch 250:
G_Loss: 0.013384
D_Loss: 2.000000
Val_PSNR: 36.0902
Val_SSIM: 0.953619

Epoch 251:
G_Loss: 0.013363
D_Loss: 2.000000
Val_PSNR: 36.0148
Val_SSIM: 0.951930

Epoch 252:
G_Loss: 0.013345
D_Loss: 2.000000
Val_PSNR: 35.8884
Val_SSIM: 0.954132

Epoch 253:
G_Loss: 0.013291
D_Loss: 2.000000
Val_PSNR: 36.1478
Val_SSIM: 0.957639

Epoch 254:
G_Loss: 0.013260
D_Loss: 2.000000
Val_PSNR: 36.0553
Val_SSIM: 0.954217

Epoch 255:
G_Loss: 0.013330
D_Loss: 2.000000
Val_PSNR: 36.0318
Val_SSIM: 0.954974

Epoch 256:
G_Loss: 0.013278
D_Loss: 2.000000
Val_PSNR: 35.8668
Val_SSIM: 0.947750

Epoch 257:
G_Loss: 0.013284
D_Loss: 2.000000
Val_PSNR: 35.9605
Val_SSIM: 0.950396

Epoch 258:
G_Loss: 0.013284
D_Loss: 2.000000
Val_PSNR: 36.0981
Val_SSIM: 0.955950

Epoch 259:
G_Loss: 0.013312
D_Loss: 2.000000
Val_PSNR: 36.0253
Val_SSIM: 0.952717

Epoch 260:
G_Loss: 0.013232
D_Loss: 2.000000
Val_PSNR: 36.0759
Val_SSIM: 0.955159

Epoch 261:
G_Loss: 0.013246
D_Loss: 2.000000
Val_PSNR: 35.8557
Val_SSIM: 0.950010

Epoch 262:
G_Loss: 0.013241
D_Loss: 2.000000
Val_PSNR: 35.7909
Val_SSIM: 0.946077

Epoch 263:
G_Loss: 0.013331
D_Loss: 2.000000
Val_PSNR: 36.1335
Val_SSIM: 0.953945

Epoch 264:
G_Loss: 0.013326
D_Loss: 2.000000
Val_PSNR: 36.0713
Val_SSIM: 0.959205

Epoch 265:
G_Loss: 0.013155
D_Loss: 2.000000
Val_PSNR: 36.1693
Val_SSIM: 0.956868

Epoch 266:
G_Loss: 0.013139
D_Loss: 2.000000
Val_PSNR: 36.2020
Val_SSIM: 0.960190

Epoch 267:
G_Loss: 0.013158
D_Loss: 2.000000
Val_PSNR: 36.1972
Val_SSIM: 0.958846

Epoch 268:
G_Loss: 0.013143
D_Loss: 2.000000
Val_PSNR: 36.1636
Val_SSIM: 0.957332

Epoch 269:
G_Loss: 0.013134
D_Loss: 2.000000
Val_PSNR: 36.2326
Val_SSIM: 0.957629

Epoch 270:
G_Loss: 0.013148
D_Loss: 2.000000
Val_PSNR: 36.0510
Val_SSIM: 0.955449

Epoch 271:
G_Loss: 0.013152
D_Loss: 2.000000
Val_PSNR: 36.0558
Val_SSIM: 0.958862

Epoch 272:
G_Loss: 0.013150
D_Loss: 2.000000
Val_PSNR: 36.1408
Val_SSIM: 0.954611

Epoch 273:
G_Loss: 0.013128
D_Loss: 2.000000
Val_PSNR: 36.0291
Val_SSIM: 0.956810

Epoch 274:
G_Loss: 0.013125
D_Loss: 2.000000
Val_PSNR: 36.0369
Val_SSIM: 0.955025

Epoch 275:
G_Loss: 0.013133
D_Loss: 2.000000
Val_PSNR: 36.1365
Val_SSIM: 0.957893

Epoch 276:
G_Loss: 0.013157
D_Loss: 2.000000
Val_PSNR: 36.1360
Val_SSIM: 0.954820

Epoch 277:
G_Loss: 0.013107
D_Loss: 2.000000
Val_PSNR: 36.2016
Val_SSIM: 0.957306

Epoch 278:
G_Loss: 0.013111
D_Loss: 2.000000
Val_PSNR: 36.1730
Val_SSIM: 0.956378

Epoch 279:
G_Loss: 0.013100
D_Loss: 2.000000
Val_PSNR: 36.1962
Val_SSIM: 0.959399

Epoch 280:
G_Loss: 0.013107
D_Loss: 2.000000
Val_PSNR: 36.1671
Val_SSIM: 0.958107

Epoch 281:
G_Loss: 0.013095
D_Loss: 2.000000
Val_PSNR: 36.1749
Val_SSIM: 0.958447

Epoch 282:
G_Loss: 0.013122
D_Loss: 2.000000
Val_PSNR: 35.9887
Val_SSIM: 0.954993

Epoch 283:
G_Loss: 0.013140
D_Loss: 2.000000
Val_PSNR: 36.2186
Val_SSIM: 0.958417

Epoch 284:
G_Loss: 0.013110
D_Loss: 2.000000
Val_PSNR: 36.2055
Val_SSIM: 0.958074

Epoch 285:
G_Loss: 0.013097
D_Loss: 2.000000
Val_PSNR: 36.0890
Val_SSIM: 0.957610

Epoch 286:
G_Loss: 0.013051
D_Loss: 2.000000
Val_PSNR: 36.2349
Val_SSIM: 0.958586

Epoch 287:
G_Loss: 0.013058
D_Loss: 2.000000
Val_PSNR: 36.2035
Val_SSIM: 0.956989

Epoch 288:
G_Loss: 0.013061
D_Loss: 2.000000
Val_PSNR: 36.2737
Val_SSIM: 0.958840

Epoch 289:
G_Loss: 0.013048
D_Loss: 2.000000
Val_PSNR: 36.2727
Val_SSIM: 0.958013

Epoch 290:
G_Loss: 0.013055
D_Loss: 2.000000
Val_PSNR: 36.1621
Val_SSIM: 0.957395

Epoch 291:
G_Loss: 0.013054
D_Loss: 2.000000
Val_PSNR: 36.1731
Val_SSIM: 0.956782

Epoch 292:
G_Loss: 0.013048
D_Loss: 2.000000
Val_PSNR: 36.2210
Val_SSIM: 0.960210

Epoch 293:
G_Loss: 0.013062
D_Loss: 2.000000
Val_PSNR: 36.2797
Val_SSIM: 0.956435

Epoch 294:
G_Loss: 0.013043
D_Loss: 2.000000
Val_PSNR: 36.2700
Val_SSIM: 0.958043

Epoch 295:
G_Loss: 0.013046
D_Loss: 2.000000
Val_PSNR: 36.2530
Val_SSIM: 0.958893

Epoch 296:
G_Loss: 0.013048
D_Loss: 2.000000
Val_PSNR: 36.2295
Val_SSIM: 0.956638

Epoch 297:
G_Loss: 0.013039
D_Loss: 2.000000
Val_PSNR: 36.3027
Val_SSIM: 0.959474

Epoch 298:
G_Loss: 0.013037
D_Loss: 2.000000
Val_PSNR: 36.2017
Val_SSIM: 0.957536

Epoch 299:
G_Loss: 0.013045
D_Loss: 2.000000
Val_PSNR: 36.2322
Val_SSIM: 0.956252

Epoch 300:
G_Loss: 0.013037
D_Loss: 2.000000
Val_PSNR: 36.2712
Val_SSIM: 0.957270

Epoch 301:
G_Loss: 0.013041
D_Loss: 2.000000
Val_PSNR: 36.2727
Val_SSIM: 0.956078

Epoch 302:
G_Loss: 0.013040
D_Loss: 2.000000
Val_PSNR: 36.2611
Val_SSIM: 0.956204

Epoch 303:
G_Loss: 0.013033
D_Loss: 2.000000
Val_PSNR: 36.2998
Val_SSIM: 0.955539

Epoch 304:
G_Loss: 0.013025
D_Loss: 2.000000
Val_PSNR: 36.2877
Val_SSIM: 0.957653

Epoch 305:
G_Loss: 0.013028
D_Loss: 2.000000
Val_PSNR: 36.2416
Val_SSIM: 0.955424

Epoch 306:
G_Loss: 0.013032
D_Loss: 2.000000
Val_PSNR: 36.2635
Val_SSIM: 0.956128

Epoch 307:
G_Loss: 0.013023
D_Loss: 2.000000
Val_PSNR: 36.2403
Val_SSIM: 0.959194

Epoch 308:
G_Loss: 0.013004
D_Loss: 2.000000
Val_PSNR: 36.3068
Val_SSIM: 0.957537

Epoch 309:
G_Loss: 0.013000
D_Loss: 2.000000
Val_PSNR: 36.2566
Val_SSIM: 0.957795

Epoch 310:
G_Loss: 0.013003
D_Loss: 2.000000
Val_PSNR: 36.2026
Val_SSIM: 0.956846

Epoch 311:
G_Loss: 0.013003
D_Loss: 2.000000
Val_PSNR: 36.2684
Val_SSIM: 0.957034

Epoch 312:
G_Loss: 0.013001
D_Loss: 2.000000
Val_PSNR: 36.2751
Val_SSIM: 0.957652

Epoch 313:
G_Loss: 0.013005
D_Loss: 2.000000
Val_PSNR: 36.2797
Val_SSIM: 0.957122

Epoch 314:
G_Loss: 0.012997
D_Loss: 2.000000
Val_PSNR: 36.3050
Val_SSIM: 0.954848

Epoch 315:
G_Loss: 0.012995
D_Loss: 2.000000
Val_PSNR: 36.3063
Val_SSIM: 0.956555

Epoch 316:
G_Loss: 0.012999
D_Loss: 2.000000
Val_PSNR: 36.2690
Val_SSIM: 0.957524

Epoch 317:
G_Loss: 0.013000
D_Loss: 2.000000
Val_PSNR: 36.3309
Val_SSIM: 0.954059

Epoch 318:
G_Loss: 0.012997
D_Loss: 2.000000
Val_PSNR: 36.2835
Val_SSIM: 0.958697

Epoch 319:
G_Loss: 0.012997
D_Loss: 2.000000
Val_PSNR: 36.2995
Val_SSIM: 0.957815

Epoch 320:
G_Loss: 0.013001
D_Loss: 2.000000
Val_PSNR: 36.2398
Val_SSIM: 0.958803

Epoch 321:
G_Loss: 0.012998
D_Loss: 2.000000
Val_PSNR: 36.2514
Val_SSIM: 0.955850

Epoch 322:
G_Loss: 0.012999
D_Loss: 2.000000
Val_PSNR: 36.3249
Val_SSIM: 0.957306

Epoch 323:
G_Loss: 0.012991
D_Loss: 2.000000
Val_PSNR: 36.2816
Val_SSIM: 0.955313

Epoch 324:
G_Loss: 0.012995
D_Loss: 2.000000
Val_PSNR: 36.2115
Val_SSIM: 0.957207

Epoch 325:
G_Loss: 0.012994
D_Loss: 2.000000
Val_PSNR: 36.3389
Val_SSIM: 0.956170

Epoch 326:
G_Loss: 0.012994
D_Loss: 2.000000
Val_PSNR: 36.2820
Val_SSIM: 0.956926

Epoch 327:
G_Loss: 0.012998
D_Loss: 2.000000
Val_PSNR: 36.3148
Val_SSIM: 0.957541

Epoch 328:
G_Loss: 0.012988
D_Loss: 2.000000
Val_PSNR: 36.1614
Val_SSIM: 0.955584

Epoch 329:
G_Loss: 0.012984
D_Loss: 2.000000
Val_PSNR: 36.3250
Val_SSIM: 0.954626

Epoch 330:
G_Loss: 0.012981
D_Loss: 2.000000
Val_PSNR: 36.2965
Val_SSIM: 0.956793

Epoch 331:
G_Loss: 0.012980
D_Loss: 2.000000
Val_PSNR: 36.2699
Val_SSIM: 0.957368

Epoch 332:
G_Loss: 0.012980
D_Loss: 2.000000
Val_PSNR: 36.2953
Val_SSIM: 0.955750

Epoch 333:
G_Loss: 0.012979
D_Loss: 2.000000
Val_PSNR: 36.2718
Val_SSIM: 0.955825

Epoch 334:
G_Loss: 0.012977
D_Loss: 2.000000
Val_PSNR: 36.3346
Val_SSIM: 0.953194

Epoch 335:
G_Loss: 0.012980
D_Loss: 2.000000
Val_PSNR: 36.2963
Val_SSIM: 0.957434

Epoch 336:
G_Loss: 0.012979
D_Loss: 2.000000
Val_PSNR: 36.3417
Val_SSIM: 0.955813

Epoch 337:
G_Loss: 0.012977
D_Loss: 2.000000
Val_PSNR: 36.3288
Val_SSIM: 0.953959

Epoch 338:
G_Loss: 0.012977
D_Loss: 2.000000
Val_PSNR: 36.3310
Val_SSIM: 0.956371

Epoch 339:
G_Loss: 0.012978
D_Loss: 2.000000
Val_PSNR: 36.2038
Val_SSIM: 0.957413

Epoch 340:
G_Loss: 0.012978
D_Loss: 2.000000
Val_PSNR: 36.3334
Val_SSIM: 0.954838

Epoch 341:
G_Loss: 0.012974
D_Loss: 2.000000
Val_PSNR: 36.2878
Val_SSIM: 0.957892

Epoch 342:
G_Loss: 0.012976
D_Loss: 2.000000
Val_PSNR: 36.3155
Val_SSIM: 0.957264

Epoch 343:
G_Loss: 0.012973
D_Loss: 2.000000
Val_PSNR: 36.2911
Val_SSIM: 0.957117

Epoch 344:
G_Loss: 0.012977
D_Loss: 2.000000
Val_PSNR: 36.2989
Val_SSIM: 0.957723

Epoch 345:
G_Loss: 0.012975
D_Loss: 2.000000
Val_PSNR: 36.2887
Val_SSIM: 0.956554

Epoch 346:
G_Loss: 0.012973
D_Loss: 2.000000
Val_PSNR: 36.2752
Val_SSIM: 0.956497

Epoch 347:
G_Loss: 0.012974
D_Loss: 2.000000
Val_PSNR: 36.3316
Val_SSIM: 0.955975

Epoch 348:
G_Loss: 0.012974
D_Loss: 2.000000
Val_PSNR: 36.3255
Val_SSIM: 0.955608

Epoch 349:
G_Loss: 0.012976
D_Loss: 2.000000
Val_PSNR: 36.2866
Val_SSIM: 0.958146

Epoch 350:
G_Loss: 0.012974
D_Loss: 2.000000
Val_PSNR: 36.3358
Val_SSIM: 0.954350

Epoch 351:
G_Loss: 0.012971
D_Loss: 2.000000
Val_PSNR: 36.3161
Val_SSIM: 0.956965

Epoch 352:
G_Loss: 0.012974
D_Loss: 2.000000
Val_PSNR: 36.3345
Val_SSIM: 0.956666

Epoch 353:
G_Loss: 0.012972
D_Loss: 2.000000
Val_PSNR: 36.3193
Val_SSIM: 0.957423

Epoch 354:
G_Loss: 0.012971
D_Loss: 2.000000
Val_PSNR: 36.3031
Val_SSIM: 0.956103

Epoch 355:
G_Loss: 0.012970
D_Loss: 2.000000
Val_PSNR: 36.3431
Val_SSIM: 0.956222

Epoch 356:
G_Loss: 0.012975
D_Loss: 2.000000
Val_PSNR: 36.2945
Val_SSIM: 0.954611

Epoch 357:
G_Loss: 0.012972
D_Loss: 2.000000
Val_PSNR: 36.2561
Val_SSIM: 0.956210

Epoch 358:
G_Loss: 0.012966
D_Loss: 2.000000
Val_PSNR: 36.3310
Val_SSIM: 0.956200

Epoch 359:
G_Loss: 0.012963
D_Loss: 2.000000
Val_PSNR: 36.3186
Val_SSIM: 0.957762

Epoch 360:
G_Loss: 0.012967
D_Loss: 2.000000
Val_PSNR: 36.2857
Val_SSIM: 0.957494

Epoch 361:
G_Loss: 0.012962
D_Loss: 2.000000
Val_PSNR: 36.2395
Val_SSIM: 0.957874

Epoch 362:
G_Loss: 0.012965
D_Loss: 2.000000
Val_PSNR: 36.3292
Val_SSIM: 0.956182

Epoch 363:
G_Loss: 0.012965
D_Loss: 2.000000
Val_PSNR: 36.3522
Val_SSIM: 0.954766

Epoch 364:
G_Loss: 0.012965
D_Loss: 2.000000
Val_PSNR: 36.2923
Val_SSIM: 0.957795

Epoch 365:
G_Loss: 0.012964
D_Loss: 2.000000
Val_PSNR: 36.3089
Val_SSIM: 0.955963

Epoch 366:
G_Loss: 0.012962
D_Loss: 2.000000
Val_PSNR: 36.2571
Val_SSIM: 0.956807

Epoch 367:
G_Loss: 0.012963
D_Loss: 2.000000
Val_PSNR: 36.3101
Val_SSIM: 0.958284

Epoch 368:
G_Loss: 0.012963
D_Loss: 2.000000
Val_PSNR: 36.3154
Val_SSIM: 0.956011

Epoch 369:
G_Loss: 0.012962
D_Loss: 2.000000
Val_PSNR: 36.3399
Val_SSIM: 0.955148

Epoch 370:
G_Loss: 0.012962
D_Loss: 2.000000
Val_PSNR: 36.3470
Val_SSIM: 0.956144

Epoch 371:
G_Loss: 0.012960
D_Loss: 2.000000
Val_PSNR: 36.2386
Val_SSIM: 0.956771

Epoch 372:
G_Loss: 0.012964
D_Loss: 2.000000
Val_PSNR: 36.3099
Val_SSIM: 0.957191

Epoch 373:
G_Loss: 0.012961
D_Loss: 2.000000
Val_PSNR: 36.2630
Val_SSIM: 0.956707

Epoch 374:
G_Loss: 0.012961
D_Loss: 2.000000
Val_PSNR: 36.1956
Val_SSIM: 0.957817

Epoch 375:
G_Loss: 0.012960
D_Loss: 2.000000
Val_PSNR: 36.3117
Val_SSIM: 0.956732

Epoch 376:
G_Loss: 0.012960
D_Loss: 2.000000
Val_PSNR: 36.3198
Val_SSIM: 0.957542

Epoch 377:
G_Loss: 0.012963
D_Loss: 2.000000
Val_PSNR: 36.3404
Val_SSIM: 0.955054

Epoch 378:
G_Loss: 0.012959
D_Loss: 2.000000
Val_PSNR: 36.2520
Val_SSIM: 0.956955

Epoch 379:
G_Loss: 0.012958
D_Loss: 2.000000
Val_PSNR: 36.2971
Val_SSIM: 0.957322

Epoch 380:
G_Loss: 0.012959
D_Loss: 2.000000
Val_PSNR: 36.3555
Val_SSIM: 0.954832

Epoch 381:
G_Loss: 0.012958
D_Loss: 2.000000
Val_PSNR: 36.3363
Val_SSIM: 0.954649

Epoch 382:
G_Loss: 0.012954
D_Loss: 2.000000
Val_PSNR: 36.3292
Val_SSIM: 0.957038

Epoch 383:
G_Loss: 0.012958
D_Loss: 2.000000
Val_PSNR: 36.3261
Val_SSIM: 0.953780

Epoch 384:
G_Loss: 0.012958
D_Loss: 2.000000
Val_PSNR: 36.3345
Val_SSIM: 0.955092

Epoch 385:
G_Loss: 0.012956
D_Loss: 2.000000
Val_PSNR: 36.2638
Val_SSIM: 0.954161

Epoch 386:
G_Loss: 0.012958
D_Loss: 2.000000
Val_PSNR: 36.3128
Val_SSIM: 0.956696

Epoch 387:
G_Loss: 0.012955
D_Loss: 2.000000
Val_PSNR: 36.3374
Val_SSIM: 0.956126

Epoch 388:
G_Loss: 0.012958
D_Loss: 2.000000
Val_PSNR: 36.3348
Val_SSIM: 0.955352

Epoch 389:
G_Loss: 0.012954
D_Loss: 2.000000
Val_PSNR: 36.2973
Val_SSIM: 0.956096

Epoch 390:
G_Loss: 0.012956
D_Loss: 2.000000
Val_PSNR: 36.3265
Val_SSIM: 0.956955

Epoch 391:
G_Loss: 0.012956
D_Loss: 2.000000
Val_PSNR: 36.3549
Val_SSIM: 0.954981

Epoch 392:
G_Loss: 0.012956
D_Loss: 2.000000
Val_PSNR: 36.2926
Val_SSIM: 0.957076

Epoch 393:
G_Loss: 0.012957
D_Loss: 2.000000
Val_PSNR: 36.2955
Val_SSIM: 0.957381

Epoch 394:
G_Loss: 0.012955
D_Loss: 2.000000
Val_PSNR: 36.3376
Val_SSIM: 0.956487

Epoch 395:
G_Loss: 0.012954
D_Loss: 2.000000
Val_PSNR: 36.0923
Val_SSIM: 0.958773

Epoch 396:
G_Loss: 0.012956
D_Loss: 2.000000
Val_PSNR: 36.2707
Val_SSIM: 0.957150

Epoch 397:
G_Loss: 0.012953
D_Loss: 2.000000
Val_PSNR: 36.3164
Val_SSIM: 0.955964

Epoch 398:
G_Loss: 0.012953
D_Loss: 2.000000
Val_PSNR: 36.2865
Val_SSIM: 0.956960

Epoch 399:
G_Loss: 0.012955
D_Loss: 2.000000
Val_PSNR: 36.3326
Val_SSIM: 0.957660

Epoch 400:
G_Loss: 0.012955
D_Loss: 2.000000
Val_PSNR: 36.3436
Val_SSIM: 0.955416

Epoch 401:
G_Loss: 0.012957
D_Loss: 2.000000
Val_PSNR: 36.3177
Val_SSIM: 0.956128

Epoch 402:
G_Loss: 0.012953
D_Loss: 2.000000
Val_PSNR: 36.3168
Val_SSIM: 0.957041

Epoch 403:
G_Loss: 0.012957
D_Loss: 2.000000
Val_PSNR: 36.3330
Val_SSIM: 0.957168

Epoch 404:
G_Loss: 0.012954
D_Loss: 2.000000
Val_PSNR: 36.3423
Val_SSIM: 0.956037

Epoch 405:
G_Loss: 0.012953
D_Loss: 2.000000
Val_PSNR: 36.2866
Val_SSIM: 0.956648

Epoch 406:
G_Loss: 0.012954
D_Loss: 2.000000
Val_PSNR: 36.3553
Val_SSIM: 0.955205

Epoch 407:
G_Loss: 0.012953
D_Loss: 2.000000
Val_PSNR: 36.2638
Val_SSIM: 0.956548

Epoch 408:
G_Loss: 0.012955
D_Loss: 2.000000
Val_PSNR: 36.3174
Val_SSIM: 0.956494

Epoch 409:
G_Loss: 0.012954
D_Loss: 2.000000
Val_PSNR: 36.2373
Val_SSIM: 0.957406

Epoch 410:
G_Loss: 0.012952
D_Loss: 2.000000
Val_PSNR: 36.3202
Val_SSIM: 0.956455

Epoch 411:
G_Loss: 0.012954
D_Loss: 2.000000
Val_PSNR: 36.3499
Val_SSIM: 0.953230

Epoch 412:
G_Loss: 0.012954
D_Loss: 2.000000
Val_PSNR: 36.3633
Val_SSIM: 0.956816

Epoch 413:
G_Loss: 0.012952
D_Loss: 2.000000
Val_PSNR: 36.3054
Val_SSIM: 0.958246

Epoch 414:
G_Loss: 0.012950
D_Loss: 2.000000
Val_PSNR: 36.2925
Val_SSIM: 0.955715

Epoch 415:
G_Loss: 0.012952
D_Loss: 2.000000
Val_PSNR: 36.3206
Val_SSIM: 0.956974

Epoch 416:
G_Loss: 0.012951
D_Loss: 2.000000
Val_PSNR: 36.3216
Val_SSIM: 0.957077

Epoch 417:
G_Loss: 0.012952
D_Loss: 2.000000
Val_PSNR: 36.3391
Val_SSIM: 0.956266

Epoch 418:
G_Loss: 0.012951
D_Loss: 2.000000
Val_PSNR: 36.3284
Val_SSIM: 0.957582

Epoch 419:
G_Loss: 0.012951
D_Loss: 2.000000
Val_PSNR: 36.3146
Val_SSIM: 0.957488

Epoch 420:
G_Loss: 0.012953
D_Loss: 2.000000
Val_PSNR: 36.3205
Val_SSIM: 0.957017

Epoch 421:
G_Loss: 0.012953
D_Loss: 2.000000
Val_PSNR: 36.3293
Val_SSIM: 0.956841

Epoch 422:
G_Loss: 0.012952
D_Loss: 2.000000
Val_PSNR: 36.2792
Val_SSIM: 0.955599

Epoch 423:
G_Loss: 0.012954
D_Loss: 2.000000
Val_PSNR: 36.3348
Val_SSIM: 0.955293

Epoch 424:
G_Loss: 0.012954
D_Loss: 2.000000
Val_PSNR: 36.3269
Val_SSIM: 0.956481

Epoch 425:
G_Loss: 0.012950
D_Loss: 2.000000
Val_PSNR: 36.2418
Val_SSIM: 0.956714

Epoch 426:
G_Loss: 0.012948
D_Loss: 2.000000
Val_PSNR: 36.3502
Val_SSIM: 0.955925

Epoch 427:
G_Loss: 0.012950
D_Loss: 2.000000
Val_PSNR: 36.3411
Val_SSIM: 0.954668

Epoch 428:
G_Loss: 0.012949
D_Loss: 2.000000
Val_PSNR: 36.2397
Val_SSIM: 0.956484

Epoch 429:
G_Loss: 0.012950
D_Loss: 2.000000
Val_PSNR: 36.2897
Val_SSIM: 0.956944

Epoch 430:
G_Loss: 0.012951
D_Loss: 2.000000
Val_PSNR: 36.3341
Val_SSIM: 0.957717

Epoch 431:
G_Loss: 0.012948
D_Loss: 2.000000
Val_PSNR: 36.3413
Val_SSIM: 0.956479

Epoch 432:
G_Loss: 0.012950
D_Loss: 2.000000
Val_PSNR: 36.2969
Val_SSIM: 0.955585

Epoch 433:
G_Loss: 0.012951
D_Loss: 2.000000
Val_PSNR: 36.3576
Val_SSIM: 0.955192

Epoch 434:
G_Loss: 0.012950
D_Loss: 2.000000
Val_PSNR: 36.2926
Val_SSIM: 0.956692

Epoch 435:
G_Loss: 0.012949
D_Loss: 2.000000
Val_PSNR: 36.3322
Val_SSIM: 0.956669

Epoch 436:
G_Loss: 0.012947
D_Loss: 2.000000
Val_PSNR: 36.3033
Val_SSIM: 0.958608

Epoch 437:
G_Loss: 0.012949
D_Loss: 2.000000
Val_PSNR: 36.3350
Val_SSIM: 0.958180

Epoch 438:
G_Loss: 0.012947
D_Loss: 2.000000
Val_PSNR: 36.3570
Val_SSIM: 0.954382

Epoch 439:
G_Loss: 0.012950
D_Loss: 2.000000
Val_PSNR: 36.3191
Val_SSIM: 0.956977

Epoch 440:
G_Loss: 0.012950
D_Loss: 2.000000
Val_PSNR: 36.3208
Val_SSIM: 0.956711

Epoch 441:
G_Loss: 0.012949
D_Loss: 2.000000
Val_PSNR: 36.2675
Val_SSIM: 0.957805

Epoch 442:
G_Loss: 0.012949
D_Loss: 2.000000
Val_PSNR: 36.3221
Val_SSIM: 0.958112

Epoch 443:
G_Loss: 0.012948
D_Loss: 2.000000
Val_PSNR: 36.3269
Val_SSIM: 0.956636

Epoch 444:
G_Loss: 0.012949
D_Loss: 2.000000
Val_PSNR: 36.3183
Val_SSIM: 0.958615

Epoch 445:
G_Loss: 0.012950
D_Loss: 2.000000
Val_PSNR: 36.3045
Val_SSIM: 0.958093

Epoch 446:
G_Loss: 0.012951
D_Loss: 2.000000
Val_PSNR: 36.3692
Val_SSIM: 0.955529

Epoch 447:
G_Loss: 0.012945
D_Loss: 2.000000
Val_PSNR: 36.3301
Val_SSIM: 0.955060

Epoch 448:
G_Loss: 0.012945
D_Loss: 2.000000
Val_PSNR: 36.3198
Val_SSIM: 0.957018

Epoch 449:
G_Loss: 0.012951
D_Loss: 2.000000
Val_PSNR: 36.3359
Val_SSIM: 0.954974

Epoch 450:
G_Loss: 0.012947
D_Loss: 2.000000
Val_PSNR: 36.1580
Val_SSIM: 0.957110

Epoch 451:
G_Loss: 0.012948
D_Loss: 2.000000
Val_PSNR: 36.1736
Val_SSIM: 0.956432

Epoch 452:
G_Loss: 0.012948
D_Loss: 2.000000
Val_PSNR: 36.3130
Val_SSIM: 0.956968

Epoch 453:
G_Loss: 0.012948
D_Loss: 2.000000
Val_PSNR: 36.3720
Val_SSIM: 0.955295

Epoch 454:
G_Loss: 0.012948
D_Loss: 2.000000
Val_PSNR: 36.2939
Val_SSIM: 0.957499

Epoch 455:
G_Loss: 0.012946
D_Loss: 2.000000
Val_PSNR: 36.2808
Val_SSIM: 0.957339

Epoch 456:
G_Loss: 0.012947
D_Loss: 2.000000
Val_PSNR: 36.3527
Val_SSIM: 0.955303

Epoch 457:
G_Loss: 0.012949
D_Loss: 2.000000
Val_PSNR: 36.3597
Val_SSIM: 0.955666

Epoch 458:
G_Loss: 0.012946
D_Loss: 2.000000
Val_PSNR: 36.3027
Val_SSIM: 0.958254

Epoch 459:
G_Loss: 0.012945
D_Loss: 2.000000
Val_PSNR: 36.3407
Val_SSIM: 0.955860

Epoch 460:
G_Loss: 0.012948
D_Loss: 2.000000
Val_PSNR: 36.3135
Val_SSIM: 0.957533

Epoch 461:
G_Loss: 0.012945
D_Loss: 2.000000
Val_PSNR: 36.3415
Val_SSIM: 0.955219

Epoch 462:
G_Loss: 0.012948
