Training History
G_Loss: 0.017548
D_Loss: 2.000000
Val_PSNR: 32.9534
Val_SSIM: 0.918075

Epoch 57:
G_Loss: 0.017468
D_Loss: 2.000000
Val_PSNR: 32.9470
Val_SSIM: 0.911282

Epoch 58:
G_Loss: 0.017213
D_Loss: 2.000000
Val_PSNR: 33.5036
Val_SSIM: 0.925280

Epoch 59:
G_Loss: 0.017197
D_Loss: 2.000000
Val_PSNR: 33.5650
Val_SSIM: 0.926518

Epoch 60:
G_Loss: 0.017178
D_Loss: 2.000000
Val_PSNR: 33.3178
Val_SSIM: 0.927882

Epoch 61:
G_Loss: 0.017395
D_Loss: 2.000000
Val_PSNR: 33.8095
Val_SSIM: 0.932622

Epoch 62:
G_Loss: 0.017329
D_Loss: 2.000000
Val_PSNR: 33.5587
Val_SSIM: 0.932596

Epoch 63:
G_Loss: 0.017085
D_Loss: 2.000000
Val_PSNR: 33.1443
Val_SSIM: 0.926701

Epoch 64:
G_Loss: 0.017024
D_Loss: 2.000000
Val_PSNR: 33.9313
Val_SSIM: 0.932025

Epoch 65:
G_Loss: 0.016955
D_Loss: 2.000000
Val_PSNR: 33.6634
Val_SSIM: 0.927810

Epoch 66:
G_Loss: 0.016877
D_Loss: 2.000000
Val_PSNR: 33.7256
Val_SSIM: 0.931462

Epoch 67:
G_Loss: 0.016781
D_Loss: 2.000000
Val_PSNR: 33.6142
Val_SSIM: 0.931185

Epoch 68:
G_Loss: 0.016713
D_Loss: 2.000000
Val_PSNR: 33.4554
Val_SSIM: 0.925462

Epoch 69:
G_Loss: 0.016718
D_Loss: 2.000000
Val_PSNR: 33.7650
Val_SSIM: 0.930558

Epoch 70:
G_Loss: 0.016561
D_Loss: 2.000000
Val_PSNR: 33.8358
Val_SSIM: 0.939041

Epoch 71:
G_Loss: 0.016510
D_Loss: 2.000000
Val_PSNR: 34.1641
Val_SSIM: 0.932875

Epoch 72:
G_Loss: 0.016462
D_Loss: 2.000000
Val_PSNR: 34.0668
Val_SSIM: 0.934626

Epoch 73:
G_Loss: 0.016616
D_Loss: 2.000000
Val_PSNR: 33.5831
Val_SSIM: 0.932042

Epoch 74:
G_Loss: 0.016538
D_Loss: 2.000000
Val_PSNR: 34.1664
Val_SSIM: 0.941292

Epoch 75:
G_Loss: 0.016310
D_Loss: 2.000000
Val_PSNR: 34.1411
Val_SSIM: 0.925811

Epoch 76:
G_Loss: 0.016362
D_Loss: 2.000000
Val_PSNR: 34.1341
Val_SSIM: 0.932587

Epoch 77:
G_Loss: 0.016377
D_Loss: 2.000000
Val_PSNR: 34.2770
Val_SSIM: 0.934078

Epoch 78:
G_Loss: 0.016364
D_Loss: 2.000000
Val_PSNR: 34.0438
Val_SSIM: 0.932218

Epoch 79:
G_Loss: 0.016278
D_Loss: 2.000000
Val_PSNR: 34.1951
Val_SSIM: 0.936711

Epoch 80:
G_Loss: 0.016311
D_Loss: 2.000000
Val_PSNR: 34.0640
Val_SSIM: 0.939006

Epoch 81:
G_Loss: 0.016032
D_Loss: 2.000000
Val_PSNR: 34.4851
Val_SSIM: 0.937407

Epoch 82:
G_Loss: 0.016244
D_Loss: 2.000000
Val_PSNR: 34.1614
Val_SSIM: 0.933585

Epoch 83:
G_Loss: 0.016115
D_Loss: 2.000000
Val_PSNR: 33.7654
Val_SSIM: 0.941833

Epoch 84:
G_Loss: 0.016268
D_Loss: 2.000000
Val_PSNR: 34.3550
Val_SSIM: 0.934169

Epoch 85:
G_Loss: 0.016048
D_Loss: 2.000000
Val_PSNR: 34.2932
Val_SSIM: 0.935992

Epoch 86:
G_Loss: 0.016140
D_Loss: 2.000000
Val_PSNR: 34.1766
Val_SSIM: 0.933596

Epoch 87:
G_Loss: 0.015949
D_Loss: 2.000000
Val_PSNR: 34.6473
Val_SSIM: 0.942230

Epoch 88:
G_Loss: 0.016060
D_Loss: 2.000000
Val_PSNR: 34.3045
Val_SSIM: 0.940848

Epoch 89:
G_Loss: 0.016161
D_Loss: 2.000000
Val_PSNR: 34.1142
Val_SSIM: 0.941399

Epoch 90:
G_Loss: 0.015882
D_Loss: 2.000000
Val_PSNR: 34.2676
Val_SSIM: 0.936077

Epoch 91:
G_Loss: 0.015836
D_Loss: 2.000000
Val_PSNR: 34.5719
Val_SSIM: 0.942481

Epoch 92:
G_Loss: 0.015744
D_Loss: 2.000000
Val_PSNR: 34.3126
Val_SSIM: 0.936290

Epoch 93:
G_Loss: 0.015807
D_Loss: 2.000000
Val_PSNR: 34.5300
Val_SSIM: 0.936226

Epoch 94:
G_Loss: 0.015745
D_Loss: 2.000000
Val_PSNR: 34.4990
Val_SSIM: 0.941392

Epoch 95:
G_Loss: 0.015922
D_Loss: 2.000000
Val_PSNR: 34.5721
Val_SSIM: 0.937271

Epoch 96:
G_Loss: 0.015659
D_Loss: 2.000000
Val_PSNR: 34.0272
Val_SSIM: 0.939049

Epoch 97:
G_Loss: 0.015961
D_Loss: 2.000000
Val_PSNR: 34.4795
Val_SSIM: 0.935996

Epoch 98:
G_Loss: 0.015927
D_Loss: 2.000000
Val_PSNR: 34.1320
Val_SSIM: 0.934025

Epoch 99:
G_Loss: 0.015677
D_Loss: 2.000000
Val_PSNR: 34.5083
Val_SSIM: 0.943812

Epoch 100:
G_Loss: 0.015444
D_Loss: 2.000000
Val_PSNR: 34.4546
Val_SSIM: 0.942452

Epoch 101:
G_Loss: 0.015513
D_Loss: 2.000000
Val_PSNR: 34.8213
Val_SSIM: 0.944408

Epoch 102:
G_Loss: 0.015427
D_Loss: 2.000000
Val_PSNR: 34.5719
Val_SSIM: 0.938991

Epoch 103:
G_Loss: 0.015386
D_Loss: 2.000000
Val_PSNR: 34.4470
Val_SSIM: 0.943312

Epoch 104:
G_Loss: 0.015588
D_Loss: 2.000000
Val_PSNR: 34.7624
Val_SSIM: 0.943294

Epoch 105:
G_Loss: 0.015473
D_Loss: 2.000000
Val_PSNR: 34.8145
Val_SSIM: 0.949310

Epoch 106:
G_Loss: 0.015296
D_Loss: 2.000000
Val_PSNR: 34.9859
Val_SSIM: 0.938736

Epoch 107:
G_Loss: 0.015610
D_Loss: 2.000000
Val_PSNR: 34.5050
Val_SSIM: 0.940506

Epoch 108:
G_Loss: 0.015321
D_Loss: 2.000000
Val_PSNR: 34.7033
Val_SSIM: 0.935597

Epoch 109:
G_Loss: 0.015189
D_Loss: 2.000000
Val_PSNR: 34.9798
Val_SSIM: 0.941570

Epoch 110:
G_Loss: 0.015220
D_Loss: 2.000000
Val_PSNR: 34.9593
Val_SSIM: 0.948076

Epoch 111:
G_Loss: 0.015401
D_Loss: 2.000000
Val_PSNR: 34.7481
Val_SSIM: 0.936091

Epoch 112:
G_Loss: 0.015240
D_Loss: 2.000000
Val_PSNR: 34.6491
Val_SSIM: 0.941087

Epoch 113:
G_Loss: 0.015179
D_Loss: 2.000000
Val_PSNR: 34.8115
Val_SSIM: 0.938904

Epoch 114:
G_Loss: 0.015288
D_Loss: 2.000000
Val_PSNR: 34.5631
