Epoch,G_Loss,D_Loss,Val_PSNR,Val_SSIM,Val_IFC,Set5_PSNR,Set5_SSIM,Set5_IFC,Set14_PSNR,Set14_SSIM,Set14_IFC
55,0.009290,0.151279,29.0167,0.837480,2.558860,27.3690,0.817719,2.680333,24.3377,0.691196,2.720403
56,0.009330,0.157361,29.4667,0.838869,2.566508,27.9870,0.820488,2.691743,24.7665,0.693762,2.728882
57,0.009206,0.153296,29.4504,0.829919,2.557098,27.5116,0.808141,2.681092,24.5177,0.683108,2.718863
58,0.009171,0.166603,29.8415,0.837248,2.560928,27.8368,0.816004,2.684441,24.6572,0.686208,2.721607
59,0.009093,0.171826,29.8644,0.838914,2.563180,27.8392,0.816109,2.686799,24.6284,0.683487,2.721638
60,0.009085,0.178796,29.7215,0.840864,2.563852,27.8790,0.821204,2.688233,24.7203,0.694080,2.728241
61,0.009039,0.178543,29.6426,0.832103,2.566527,27.8716,0.813453,2.691528,24.7569,0.686525,2.730837
62,0.009035,0.185306,29.7810,0.844034,2.567826,28.2328,0.826725,2.691469,24.8918,0.696916,2.731186
63,0.008971,0.184009,29.7384,0.839804,2.562346,27.8132,0.817046,2.687179,24.6458,0.686843,2.724876
64,0.008933,0.190838,29.2979,0.845507,2.572598,28.2774,0.832461,2.694577,24.8935,0.705346,2.736371
65,0.008918,0.189977,29.9633,0.845237,2.562972,27.8680,0.818914,2.685181,24.7647,0.694879,2.725318
66,0.008917,0.191088,29.9580,0.840853,2.560383,27.6783,0.811366,2.684131,24.6223,0.685311,2.717888
67,0.008802,0.188089,29.0661,0.848917,2.560675,28.0116,0.832692,2.685171,24.8137,0.709000,2.726970
68,0.008726,0.199478,30.0624,0.842121,2.563170,27.6880,0.810068,2.686421,24.5959,0.680903,2.722339
69,0.008770,0.185056,29.5072,0.836267,2.559828,27.2125,0.793339,2.680983,24.3886,0.670275,2.718408
70,0.008764,0.206070,29.6170,0.840946,2.572020,27.7896,0.813261,2.694256,24.7745,0.689142,2.734531
71,0.008657,0.196702,29.8631,0.839955,2.558105,27.4791,0.804546,2.682660,24.5023,0.677450,2.714700
72,0.008580,0.198957,29.9201,0.841876,2.555197,27.5660,0.809363,2.679400,24.5697,0.681578,2.711892
73,0.008534,0.199613,29.9362,0.844327,2.563905,27.6585,0.811827,2.685655,24.6167,0.685331,2.720731
74,0.008684,0.212707,29.9624,0.842266,2.561649,27.5151,0.808029,2.682751,24.5453,0.679222,2.715507
75,0.008500,0.209246,29.6507,0.845674,2.565593,27.6577,0.810489,2.687266,24.6605,0.684500,2.721604
76,0.008564,0.219745,29.4774,0.839695,2.562801,27.3625,0.805316,2.683264,24.4842,0.681581,2.723918
77,0.008397,0.213617,30.2243,0.849576,2.566738,27.8399,0.818306,2.687761,24.7416,0.690424,2.726643
78,0.008444,0.209362,29.6314,0.842265,2.554356,27.2578,0.802374,2.675765,24.3450,0.676164,2.707222
79,0.008299,0.206510,30.1070,0.847219,2.563560,27.6441,0.810378,2.685319,24.6590,0.686107,2.722939
80,0.008436,0.225143,30.1453,0.849220,2.562978,27.7298,0.815507,2.684204,24.7545,0.691961,2.722807
81,0.008288,0.225667,29.4614,0.845337,2.568235,27.6074,0.809460,2.688889,24.5570,0.682473,2.725232
82,0.008418,0.224318,30.1190,0.847485,2.557721,27.4342,0.806453,2.678530,24.5023,0.679797,2.711265
83,0.008218,0.243178,30.0944,0.846307,2.560733,27.4325,0.804656,2.682262,24.4968,0.676337,2.714973
84,0.008190,0.216468,30.0735,0.847740,2.557999,27.4750,0.807772,2.680543,24.4614,0.678811,2.710418
85,0.008152,0.234887,29.6657,0.847337,2.551250,27.2344,0.805086,2.674356,24.2229,0.677625,2.700172
86,0.008180,0.234004,30.1932,0.846860,2.557329,27.3927,0.802348,2.680509,24.4675,0.675776,2.710620
87,0.008140,0.234983,29.9767,0.844088,2.555769,27.2132,0.793464,2.678173,24.3131,0.667151,2.706689
88,0.008086,0.240052,29.1931,0.848021,2.555496,26.9259,0.803724,2.675753,24.1690,0.678274,2.709498
89,0.008055,0.234019,29.9354,0.845410,2.557029,27.0236,0.794198,2.677201,24.3256,0.671853,2.710637
90,0.008057,0.232529,30.3473,0.853240,2.558837,27.5731,0.812597,2.683393,24.5234,0.682624,2.712430
91,0.008060,0.233936,30.3184,0.851851,2.562698,27.4105,0.806152,2.682913,24.5713,0.683154,2.719291
92,0.008020,0.246926,30.0707,0.853336,2.553446,27.2664,0.801644,2.672304,24.4761,0.683541,2.706250
93,0.007928,0.243869,30.3281,0.851477,2.563562,27.5443,0.807531,2.684065,24.5946,0.682131,2.719903
94,0.007961,0.244227,30.1262,0.847892,2.557029,27.1553,0.795671,2.677448,24.4088,0.673906,2.707416
95,0.007926,0.250561,30.2001,0.850661,2.556305,27.3347,0.804399,2.678224,24.3852,0.676798,2.704326
